Project,Folder Name,File Name,Summary
"AbdurRKhalid","AbstractFactory","WindowsOSFactory.java","The WindowsOSFactory class acts as a factory in the abstract_factory pattern, acts as an originator in the memento pattern and acts as a factory in the factory_method pattern and provides methods to create, create, check for managing factory."
"AbdurRKhalid","AbstractFactory","WindowsButton.java","The WindowsButton class acts as a product in the abstract_factory pattern and acts as a memento in the memento pattern for managing button."
"AbdurRKhalid","AbstractFactory","Button.java","The Button class acts as an abstract product in the abstract_factory pattern and acts as a memento in the memento pattern for managing button."
"AbdurRKhalid","AbstractFactory","Test.java","The Test class."
"AbdurRKhalid","AbstractFactory","CheckBox.java","The CheckBox class acts as an abstract product in the abstract_factory pattern, acts as a memento in the memento pattern and acts as an abstract product in the factory_method pattern."
"AbdurRKhalid","AbstractFactory","MacOSFactory.java","The MacOSFactory class acts as a factory in the abstract_factory pattern and acts as an originator in the memento pattern and provides methods to create, create, check for managing factory."
"AbdurRKhalid","AbstractFactory","MacOSButton.java","The MacOSButton class acts as a product in the abstract_factory pattern and acts as a memento in the memento pattern for managing button."
"AbdurRKhalid","AbstractFactory","WindowsCheckBox.java","The WindowsCheckBox class acts as a product in the abstract_factory pattern, acts as a memento in the memento pattern and acts as a product in the factory_method pattern."
"AbdurRKhalid","AbstractFactory","Application.java","The Application class acts as a caretaker in the memento pattern."
"AbdurRKhalid","AbstractFactory","MacOSCheckBox.java","The MacOSCheckBox class acts as a product in the abstract_factory pattern, acts as a memento in the memento pattern and acts as a product in the factory_method pattern."
"AbdurRKhalid","AbstractFactory","GUIFactory.java","The GUIFactory class acts as an originator in the memento pattern and acts as a factory in the factory_method pattern and provides methods to create, create, check for managing factory."
"AbdurRKhalid","Adapter","RoundHole.java","The RoundHole class and provides methods to get."
"AbdurRKhalid","Adapter","RoundPeg.java","The RoundPeg class acts as a target in the adapter pattern and provides methods to get."
"AbdurRKhalid","Adapter","SquarePegAdapter.java","The SquarePegAdapter class acts as an adapter in the adapter pattern and provides methods to get for managing adapter."
"AbdurRKhalid","Adapter","Test.java","The Test class."
"AbdurRKhalid","Adapter","SquarePeg.java","The SquarePeg class acts as an adaptee in the adapter pattern and provides methods to get, get."
"AbdurRKhalid","Decorator","DataSourceDecorator.java","The DataSourceDecorator class is part of the Decorator pattern and provides methods to write, read for managing data."
"AbdurRKhalid","Decorator","EncryptionDecorator.java","The EncryptionDecorator class is part of the Decorator pattern and provides methods to write, read."
"AbdurRKhalid","Decorator","Test.java","The Test class."
"AbdurRKhalid","Decorator","CompressionDecorator.java","The CompressionDecorator class is part of the Decorator pattern and provides methods to get, set, write, read."
"AbdurRKhalid","Decorator","FileDataSource.java","The FileDataSource class and provides methods to write, read for managing file, data."
"AbdurRKhalid","Decorator","DataSource.java","The DataSource class and provides methods to write, read for managing data."
"AbdurRKhalid","Facade","Codec.java","The Codec class acts as a memento in the memento pattern."
"AbdurRKhalid","Facade","OggCompressionCodec.java","The OggCompressionCodec class acts as a memento in the memento pattern."
"AbdurRKhalid","Facade","Test.java","The Test class."
"AbdurRKhalid","Facade","VideoConversionFacade.java","The VideoConversionFacade class is part of the Facade pattern and provides methods to convert."
"AbdurRKhalid","Facade","VideoFile.java","The VideoFile class and provides methods to get, get for managing file."
"AbdurRKhalid","Facade","AudioMixer.java","The AudioMixer class."
"AbdurRKhalid","Facade","CodecFactory.java","The CodecFactory class acts as an originator in the memento pattern for managing factory."
"AbdurRKhalid","Facade","MPEG4CompressionCodec.java","The MPEG4CompressionCodec class acts as a memento in the memento pattern."
"AbdurRKhalid","Facade","BitrateReader.java","The BitrateReader class and provides methods to read, convert."
"AbdurRKhalid","FactoryMethod","WindowsButton.java","The WindowsButton class acts as a memento in the memento pattern and acts as a product in the factory_method pattern and provides methods to render for managing button."
"AbdurRKhalid","FactoryMethod","Button.java","The Button class acts as a memento in the memento pattern and acts as an abstract product in the factory_method pattern and provides methods to render for managing button."
"AbdurRKhalid","FactoryMethod","Test.java","The Test class."
"AbdurRKhalid","FactoryMethod","Dialog.java","The Dialog class acts as an originator in the memento pattern and acts as a factory in the factory_method pattern and provides methods to render, create for managing dialog."
"AbdurRKhalid","FactoryMethod","WindowsDialog.java","The WindowsDialog class acts as an originator in the memento pattern and provides methods to create for managing dialog."
"AbdurRKhalid","FactoryMethod","HtmlDialog.java","The HtmlDialog class acts as an originator in the memento pattern and provides methods to create for managing dialog."
"AbdurRKhalid","FactoryMethod","HtmlButton.java","The HtmlButton class acts as a memento in the memento pattern and acts as a product in the factory_method pattern and provides methods to render for managing button."
"AbdurRKhalid","Memento","TextEditor.java","The TextEditor class and provides methods to save for managing text."
"AbdurRKhalid","Memento","TextWindow.java","The TextWindow class and provides methods to add, save for managing text, window."
"AbdurRKhalid","Memento","TextWindowState.java","The TextWindowState class and provides methods to get for managing text, window."
"AbdurRKhalid","Observer","EmailNotificationListener.java","The EmailNotificationListener class acts as a subscriber in the observer pattern and provides methods to update."
"AbdurRKhalid","Observer","EventManager.java","The EventManager class acts as a publisher in the observer pattern and provides methods to notify for managing event."
"AbdurRKhalid","Observer","EventListener.java","The EventListener class acts as a subscriber in the observer pattern and provides methods to update for managing event."
"AbdurRKhalid","Observer","Editor.java","The Editor class and provides methods to open, save."
"AbdurRKhalid","Observer","LogOpenListener.java","The LogOpenListener class acts as a subscriber in the observer pattern and provides methods to update."
"AbdurRKhalid","Singleton","Test.java","The Test class."
"AbdurRKhalid","Singleton","Singleton.java","The Singleton class is part of the Singleton pattern and provides methods to get."
"AbdurRKhalid","Visitor","ComputerPart.java","The ComputerPart class acts as a visitor in the visitor pattern."
"AbdurRKhalid","Visitor","Monitor.java","The Monitor class acts as a concrete element in the visitor pattern."
"AbdurRKhalid","Visitor","Mouse.java","The Mouse class acts as a concrete element in the visitor pattern."
"AbdurRKhalid","Visitor","ComputerPartDisplayVisitor.java","The ComputerPartDisplayVisitor class acts as a visitor in the visitor pattern."
"AbdurRKhalid","Visitor","Test.java","The Test class."
"AbdurRKhalid","Visitor","Keyboard.java","The Keyboard class acts as a concrete element in the visitor pattern."
"AbdurRKhalid","Visitor","Computer.java","The Computer class acts as a concrete element in the visitor pattern."
